City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
276,Carauari,BR,75.4,broken clouds,-4.8828,-66.8958,Hotel Fellip
277,Tezu,IN,78.82,clear sky,27.9167,96.1667,Circuit House
278,Guinticgan,PH,84.7,scattered clouds,11.5641,123.1236,Jeanette Resort Carles Iloilo B&B
280,Ormara,PK,81.1,clear sky,25.2088,64.6357,Kenara Colony House for Rent
283,Itoman,JP,77.77,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
284,Sinnamary,GF,77.79,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
292,Nishihara,JP,77.05,broken clouds,26.1842,127.7558,Minshuku Agaihama
297,Nueva Gerona,CU,78.71,clear sky,21.8833,-82.8,Casa de la Alegria
298,Quelimane,MZ,82.35,scattered clouds,-17.8786,36.8883,Hotel Flamingo
304,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
306,Dubti,ET,78.98,clear sky,11.7361,41.0853,degu Shiferaw
307,Poya,NC,78.69,scattered clouds,-21.35,165.15,
310,Mersing,MY,87.71,few clouds,2.4312,103.8405,Timotel Hotel
312,Kimbe,PG,80.94,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
313,Kiunga,PG,83.62,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
319,Mahebourg,MU,77.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
320,Ugoofaaru,MV,81.5,broken clouds,5.6667,73.0,Ungoofaaru Inn
321,Bontang,ID,84.51,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
323,Matara,LK,83.39,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
324,Lorengau,PG,82.98,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
329,Naliya,IN,83.03,clear sky,23.2667,68.8333,jadeja jayendrasinh
332,Galle,LK,82.74,overcast clouds,6.0367,80.217,Amangalla
336,Mayumba,GA,75.56,overcast clouds,-3.432,10.6554,LIKWALE LODGE
337,Axim,GH,76.17,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
338,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
344,Mae Hong Son,TH,84.34,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
345,Hambantota,LK,82.74,light rain,6.1241,81.1185,Bungalow 63
348,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
350,Kieta,PG,84.27,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
351,Addanki,IN,81.1,broken clouds,15.8167,79.9833,HONEY TIFFIN CENTER
365,Tucuma,BR,77.18,overcast clouds,-0.1833,-50.05,
